Name,LAT,LONG,Type,Address,Phone,Website
Indi's Fast Food Restaraunt,38.057799,-84.487038,Local,670 North Broadway,8592337985,https://www.facebook.com/Indis.Lexington/
Grimes's Fast Food North,38.068055,-84.503872,Local,325 Roosevelt Boulevard,8592550445,none
Grimes's Fast Food South,37.966166,-84.501614,Local,4248 Saron Drive,8595238222,none
Chickfila Palomar,37.997594,-84.58121,Chickfila,4275 Harrodsburg Road,8594402033,https://www.chick-fil-a.com/locations/ky/palomar/
Chickfila Turfland,38.025856,-84.537003,Chickfila,2025 Harrodsburg Road,8593730007,https://www.chick-fil-a.com/locations/ky/turfland/
Chickfila UK Student Center,38.040374,-84.503203,Chickfila,239 Student Center UK,8592186726,https://www.chick-fil-a.com/locations/ky/university-of-kentucky/
Chickfila UK The 90,38.031489,-84.501846,Chickfila,440 Hilltop Avenue (UK),8593237154,https://www.chick-fil-a.com/locations/ky/university-of-kentucky-the-90/
Chickfila Nicholasville Road,37.999617,-84.520375,Chickfila,2514 Nicholasville Road,8592780003,https://www.chick-fil-a.com/locations/ky/nicholasville-road/
Chickfila Fayette Mall,37.990002,-84.527935,Chickfila,3401 Nicholasville Road Suite FC5A,8592722614,https://www.chick-fil-a.com/locations/ky/fayette-mall/
Chickfila Richmond Road at New Circle Road,38.016744,-84.462654,Chickfila,2299 Richmond Road,8593359856,https://www.chick-fil-a.com/locations/ky/richmond-rd-at-new-circle-rd/
Chickfila Hamburg Place,38.016713,-84.418174,Chickfila,1863 Plaudit Place,8595430063,https://www.chick-fil-a.com/locations/ky/hamburg-place/
Chickfila Russell Cave Road,38.070625,-84.475931,Chickfila,295 West New Circle Road,8599049924,https://www.chick-fil-a.com/locations/ky/russell-cave-rd/
KFC Nicholasville Road,38.003271,-84.51693,Kentucky Fried Chicken,2401 Nicholasville Road,8592770416,https://locations.kfc.com/ky/lexington/2401-nicholasville-road/
KFC Tates Creek Center Drive,37.969091,-84.500515,Kentucky Fried Chicken,4141 Tates Creek Center Drive,8592713135,https://locations.kfc.com/ky/lexington/4141-tates-creek-centre-drive/
KFC Richmond Road,38.004584,-84.45056,Kentucky Fried Chicken,3030 Richmond Road,8592665830,https://locations.kfc.com/ky/lexington/3030-richmond-road/
KFC Plaudit Drive,38.01873,-84.416248,Kentucky Fried Chicken,1907 Plaudit Place,8592630799,https://locations.kfc.com/ky/lexington/1907-plaudit-dr/
KFC Boardwalk,38.07149,-84.482825,Kentucky Fried Chicken,1494 Boardwalk,8592524255,https://locations.kfc.com/ky/lexington/1494-boardwalk/
Cane's 639 The School House,38.042508,-84.504376,Raising Cane's Chicken Fingers,544 South Upper Street,8594553353,https://www.raisingcanes.com/locations/c639/
Cane's 644 The Spring Chicken,38.025303,-84.536267,Raising Cane's Chicken Fingers,2030 Harrodsburg Road,8592780015,https://www.raisingcanes.com/locations/c644/
Cane's 641 Triple Crown,37.999989,-84.521248,Raising Cane's Chicken Fingers,2555 Nicholasville Road,8593135333,https://www.raisingcanes.com/locations/c641/
Cane's 640 The Burg,38.039989,-84.428331,Raising Cane's Chicken Fingers,2201 War Admiral Way,8595430154,https://www.raisingcanes.com/locations/c640/
Zaxby's South Broadway,38.036779,-84.51897,Zabxy's Chicken Fingers,115 South Broadway,8595238543,https://www.zaxbys.com/locations/ky/lexington/1115-s-broadway/
Zaxby's Redding Road,37.983435,-84.495872,Zabxy's Chicken Fingers,435 Redding Road,8596879044,https://www.zaxbys.com/locations/ky/lexington/435-redding-rd/
Zaxby's Sand Lake,37.99895,-84.444892,Zabxy's Chicken Fingers,104 Sand Lake Drive,8593179929,https://www.zaxbys.com/locations/ky/lexington/104-sand-lake-dr/
Zaxby's West New Circle,38.072969,-84.481492,Zabxy's Chicken Fingers,531 West New Circle Road,8593680600,https://www.zaxbys.com/locations/ky/lexington/531-w-new-circle-rd/
Zaxby's Sharkey Way,38.068864,-84.530801,Zabxy's Chicken Fingers,1772 Sharkey Way,8592260011,https://www.zaxbys.com/locations/ky/lexington/1772-sharkey-way/
Joella's Cochran Road,38.027573,-84.490064,Joella's Hot Chicken,101 Cochran Road,8592699593,https://joellas.com/locations.php/
Joella's Hamburg,38.022191,-84.422929,Joella's Hot Chicken,2305 Sir Barton Way,8599779191,https://joellas.com/locations.php/
Popeye's 85303,38.064941,-84.469495,Stagnant,115 East New Circle Road,8593670554,https://www.popeyes.com/store-locator/store/restaurant_85303/
Lee's Lexington,38.004807,-84.451225,Stagnant,3014 Richmond Road,8593689002,https://www.leesfamousrecipe.com/locations/kentucky/lexington/
Gus's Lexington,38.041461,-84.492503,Insurgent,321 East Vine Street,8595238008,https://www.gusfriedchicken.com/locations/lexington-kentucky/
Richie's Lexington,38.046716,-84.453733,Insurgent,771 East New Circle Road,8595239488,https://www.richieschicken.com/locations/
"Dave's Lexington KY, Richmond Road",38.010036,-84.456067,Insurgent,2630 Richmond Road,8593006230,https://www.daveshotchicken.com/location/lexington-ky-richmond-rd/
TKK Fried Chicken Lexington,38.035098,-84.508497,Insurgent,685 South Limestone Street,8598102100,https://www.tkkusa.com/location/
